A: CD F: 10 B: 01 C: 10 D: C0 E: 15 H: 40 L: 16 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: CD F: 10 B: 01 C: 10 D: C0 E: 15 H: 40 L: 16 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: CD F: 10 B: 01 C: 10 D: C0 E: 16 H: 40 L: 16 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: CD F: 10 B: 01 C: 10 D: C0 E: 16 H: 40 L: 16 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 16 H: 40 L: 17 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 16 H: 40 L: 17 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 17 H: 40 L: 17 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 03 F: 10 B: 01 C: 10 D: C0 E: 17 H: 40 L: 17 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 17 H: 40 L: 18 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 17 H: 40 L: 18 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 18 H: 40 L: 18 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C0 F: 10 B: 01 C: 10 D: C0 E: 18 H: 40 L: 18 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 18 H: 40 L: 19 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 18 H: 40 L: 19 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 19 H: 40 L: 19 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F1 F: 10 B: 01 C: 10 D: C0 E: 19 H: 40 L: 19 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 19 H: 40 L: 1A SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 19 H: 40 L: 1A SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 1A H: 40 L: 1A SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 3D F: 10 B: 01 C: 10 D: C0 E: 1A H: 40 L: 1A SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 1A H: 40 L: 1B SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 1A H: 40 L: 1B SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 1B H: 40 L: 1B SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 1B H: 40 L: 1B SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: F6 F: 10 B: 01 C: 10 D: C0 E: 1B H: 40 L: 1C SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: F6 F: 10 B: 01 C: 10 D: C0 E: 1B H: 40 L: 1C SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: F6 F: 10 B: 01 C: 10 D: C0 E: 1C H: 40 L: 1C SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: F6 F: 10 B: 01 C: 10 D: C0 E: 1C H: 40 L: 1C SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 1C H: 40 L: 1D SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 1C H: 40 L: 1D SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 1D H: 40 L: 1D SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C9 F: 10 B: 01 C: 10 D: C0 E: 1D H: 40 L: 1D SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: B7 F: 10 B: 01 C: 10 D: C0 E: 1D H: 40 L: 1E SP: FFFE PC: 00:0207 (12 1C 20 FB)
